subject,recalled,age
151,3.364102564102564,36.025380397954784
153,1.3866666666666667,38.442952285126
154,3.6133333333333333,36.142996319796666
155,3.3,37.24637284361303
156,2.55,27.587151002416203
158,3.350513538748833,45.35057758429902
159,2.857142857142857,42.900150813044
161,6.213333333333334,53.77523152426128
162,3.08,30.853474061753
163,1.3666666666666667,45.68471631861024
164,2.2,37.92001204679083
166,1.72,38.96315461645345
167,5.366666666666667,33.30652466055657
168,3.52,24.432968050907
169,2.555952380952381,43.45868384246996
170,1.3833333333333335,20.61917766963045
171,2.9722222222222223,36.33464981028586
172,2.32,21.99908280115266
173,3.7800000000000002,18.806683231004055
174,3.536666666666667,29.23799484817165
175,2.72,
176,4.24,41.38061242416568
177,3.1325000000000003,23.389825481244195
178,1.6025,40.11569938693699
184,3.0555555555555554,42.437444528863246
185,4.0,20.668459995756
186,1.0,27.65559867759092
187,1.461764705882353,51.54372323410702
189,4.466666666666666,22.562977565133668
191,2.352723311546841,19.233682644635643
193,2.381111111111111,37.47909493920706
195,3.6533333333333338,44.37314478280412
196,4.48,18.77109043991321
198,2.235294117647059,59.527460066486
200,2.986666666666667,25.97452377529997
201,2.76,36.97817203638679
202,2.243333333333333,29.59118485207317
203,2.12,36.0226424909478
204,4.673333333333334,25.774542484331185
207,2.34,39.90773253386449
212,4.07,46.95236726284592
214,1.1111111111111112,30.664444398813
215,2.875978835978836,50.68402043391263
216,2.2533333333333334,22.746417334602
217,3.36,37.25470064409262
221,3.6,57.40022040151406
222,3.2504791390240304,20.70667661439546
223,1.9066666666666665,42.74682802065295
226,3.06,41.75034394956775
228,3.29,58.744418662487
229,2.34375,28.756123214942
230,2.504,56.26398899361383
231,3.5,20.766910568549207
232,5.64,
234,3.0599999999999996,25.161365394224383
236,3.1,51.72990091058224
240,1.2971428571428572,37.89810879073492
241,1.04,52.29413791293912
243,2.38,63.92465279916768
247,3.68,61.55373941057425
250,5.48,29.758311258958088
251,3.0,31.93768523652094
